`id,work_year,experience_level,employment_type,job_title,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
108,2025,SE,FT,Analytics Engineer,USD,152500,US,0,US,M
109,2025,SE,FT,Analytics Engineer,USD,116450,US,0,US,M
110,2025,SE,FT,Data Engineer,USD,247300,US,0,US,M
111,2025,SE,FT,Data Engineer,USD,133800,US,0,US,M
112,2025,SE,FT,Research Engineer,USD,203000,US,0,US,M
113,2025,SE,FT,Research Engineer,USD,133000,US,0,US,M
114,2025,EN,FT,Research Scientist,USD,220000,US,50,US,L
116,2025,SE,FT,Data Scientist,USD,150000,US,0,US,M
117,2025,SE,FT,Data Scientist,USD,120000,US,0,US,M
118,2025,SE,FT,Analytics Engineer,USD,289800,US,0,US,M
119,2025,SE,FT,Analytics Engineer,USD,214000,US,0,US,M
120,2025,SE,FT,Analytics Engineer,USD,179820,US,0,US,M
121,2025,SE,FT,Analytics Engineer,USD,143860,US,0,US,M
122,2025,SE,FT,Machine Learning Engineer,USD,283200,US,100,US,M
123,2025,SE,FT,Machine Learning Engineer,USD,188800,US,100,US,M
124,2025,SE,FT,Analytics Engineer,USD,289800,US,0,US,M
125,2025,SE,FT,Analytics Engineer,USD,214200,US,0,US,M
126,2025,SE,FT,Data Engineer,USD,185900,US,0,US,M
127,2025,SE,FT,Data Engineer,USD,129300,US,0,US,M
128,2025,SE,FT,Data Engineer,USD,252000,US,0,US,M
129,2025,SE,FT,Data Engineer,USD,129000,US,0,US,M
130,2025,MI,FT,Data Analytics Manager,USD,155000,US,0,US,M
131,2025,MI,FT,Data Analytics Manager,USD,140000,US,0,US,M
132,2025,SE,FT,Data Engineer,USD,161800,US,100,US,M
133,2025,SE,FT,Data Engineer,USD,141600,US,100,US,M
134,2025,SE,FT,Machine Learning Engineer,USD,342300,US,0,US,L
135,2025,SE,FT,Machine Learning Engineer,USD,176100,US,0,US,L
136,2025,MI,FT,Data Engineer,USD,100000,US,100,US,M
137,2025,MI,FT,Data Engineer,USD,70000,US,100,US,M
138,2025,EN,FT,Data Engineer,USD,85000,US,0,US,M
139,2025,EN,FT,Data Engineer,USD,65000,US,0,US,M
140,2025,SE,FT,Data Scientist,USD,138784,US,100,US,M
141,2025,SE,FT,Data Scientist,USD,83270,US,100,US,M
142,2025,EN,FT,Data Analyst,USD,75000,US,0,US,M
143,2025,EN,FT,Data Analyst,USD,70000,US,0,US,M
144,2025,SE,FT,Data Analyst,USD,204500,US,0,US,M
145,2025,SE,FT,Data Analyst,USD,138900,US,0,US,M
146,2025,SE,FT,Machine Learning Engineer,USD,318300,US,100,US,M
147,2025,SE,FT,Machine Learning Engineer,USD,212200,US,100,US,M
148,2025,SE,FT,Data Engineer,USD,95000,US,100,US,M
149,2025,SE,FT,Data Engineer,USD,75000,US,100,US,M
150,2025,SE,FT,Data Scientist,USD,195000,US,0,US,M
151,2025,SE,FT,Data Scientist,USD,160000,US,0,US,M
152,2025,SE,FT,Analytics Engineer,USD,230000,US,0,US,M
153,2025,SE,FT,Analytics Engineer,USD,143200,US,0,US,M
154,2025,MI,FT,Data Engineer,USD,100000,US,100,US,M
155,2025,MI,FT,Data Engineer,USD,70000,US,100,US,M
156,2025,MI,FT,Business Data Analyst,USD,105000,US,50,US,L
157,2025,MI,FT,Applied Data Scientist,INR,20670,IN,100,IN,L
158,2025,MI,FT,Data Analyst,GBP,46178,GB,0,GB,M
159,2025,MI,FT,Data Analyst,GBP,42533,GB,0,GB,M
160,2025,SE,FT,Data Engineer,USD,145000,US,0,US,M
161,2025,SE,FT,Data Engineer,USD,115000,US,0,US,M
162,2025,SE,FT,Data Analyst,USD,168400,US,0,US,M
163,2025,SE,FT,Data Analyst,USD,105200,US,0,US,M
164,2025,SE,FT,Applied Scientist,USD,309400,US,0,US,L
165,2025,SE,FT,Applied Scientist,USD,159100,US,0,US,L
166,2025,SE,FT,Machine Learning Engineer,USD,190000,US,0,US,M
167,2025,SE,FT,Machine Learning Engineer,USD,150000,US,0,US,M
168,2025,MI,FT,Data Engineer,USD,162500,US,0,US,M
169,2025,MI,FT,Data Engineer,USD,130000,US,0,US,M
170,2025,SE,FT,Analytics Engineer,USD,150000,US,100,US,M
171,2025,SE,FT,Analytics Engineer,USD,120000,US,100,US,M
172,2025,SE,FT,Data Engineer,USD,145000,US,0,US,M
173,2025,SE,FT,Data Engineer,USD,120000,US,0,US,M
174,2025,SE,FT,Applied Scientist,USD,222200,US,0,US,L
175,2025,SE,FT,Applied Scientist,USD,136000,US,0,US,L
178,2025,SE,FT,Data Engineer,USD,241000,US,0,US,M
179,2025,SE,FT,Data Engineer,USD,155000,US,0,US,M
180,2025,SE,FT,Data Engineer,USD,220000,US,100,US,M
181,2025,SE,FT,Data Engineer,USD,190000,US,100,US,M
182,2025,MI,FT,Data Scientist,GBP,66837,GB,0,GB,M
183,2025,MI,FT,Data Scientist,GBP,54685,GB,0,GB,M
185,2025,MI,FT,ETL Engineer,GBP,85066,GB,100,GB,M
186,2025,MI,FT,ETL Engineer,GBP,57723,GB,100,GB,M
187,2025,EN,FT,Data Analyst,USD,85000,US,100,US,M
188,2025,EN,FT,Data Analyst,USD,75000,US,100,US,M
189,2025,SE,FT,Data Engineer,USD,160000,US,0,US,M
190,2025,SE,FT,Data Engineer,USD,140000,US,0,US,M
191,2025,MI,FT,Machine Learning Engineer,USD,300000,US,0,US,M
192,2025,MI,FT,Machine Learning Engineer,USD,250000,US,0,US,M
193,2025,SE,FT,Data Scientist,USD,228000,US,0,US,M
194,2025,SE,FT,Data Scientist,USD,186000,US,0,US,M
195,2025,SE,FT,Data Scientist,USD,190000,US,0,US,M
196,2025,SE,FT,Data Scientist,USD,170000,US,0,US,M
197,2025,MI,FT,Research Engineer,USD,230000,US,0,US,M
198,2025,MI,FT,Research Engineer,USD,200000,US,0,US,M
199,2025,SE,FT,Data Architect,USD,180000,US,100,US,M
200,2025,SE,FT,Data Architect,USD,115000,US,100,US,M
201,2025,SE,FT,Data Architect,USD,200000,US,100,US,M
202,2025,SE,FT,Data Architect,USD,115000,US,100,US,M
203,2025,SE,FT,Data DevOps Engineer,EUR,53654,FR,50,FR,S
204,2025,EX,FT,Data Engineer,USD,220000,US,0,US,M
205,2025,EX,FT,Data Engineer,USD,205000,US,0,US,M
206,2025,MI,FT,Data Engineer,USD,180000,US,0,US,M
207,2025,MI,FT,Data Engineer,USD,130000,US,0,US,M
208,2025,SE,FT,Data Engineer,USD,200000,US,100,US,M
209,2025,SE,FT,Data Engineer,USD,150000,US,100,US,M
210,2025,SE,FT,Computer Vision Engineer,USD,215000,US,0,US,M
211,2025,SE,FT,Computer Vision Engineer,USD,170000,US,0,US,M
212,2025,SE,FT,Machine Learning Engineer,USD,247500,US,0,US,M
213,2025,SE,FT,Machine Learning Engineer,USD,172200,US,0,US,M
214,2025,SE,FT,Data Scientist,USD,224000,CA,0,CA,M
215,2025,SE,FT,Data Scientist,USD,176000,CA,0,CA,M
216,2025,SE,FT,Data Analyst,USD,120000,US,100,US,M
217,2025,SE,FT,Data Analyst,USD,75000,US,100,US,M
218,2025,EN,FT,Data Engineer,INR,17022,IN,100,IN,L
221,2025,SE,FT,Data Analyst,USD,140000,US,0,US,M
222,2025,SE,FT,Data Analyst,USD,120000,US,0,US,M
223,2025,SE,FT,Data Engineer,USD,128000,US,0,US,M
224,2025,SE,FT,Data Engineer,USD,81500,US,0,US,M
225,2025,SE,FT,Data Engineer,USD,145000,US,0,US,M
226,2025,SE,FT,Data Engineer,USD,115000,US,0,US,M
227,2025,SE,FT,Data Engineer,USD,185000,US,0,US,M
228,2025,SE,FT,Data Engineer,USD,140000,US,0,US,M
229,2025,EX,FT,Head of Data,USD,329500,US,0,US,M
230,2025,EX,FT,Head of Data,USD,269600,US,0,US,M
231,2025,SE,FT,Data Quality Analyst,USD,100000,US,0,US,M
232,2025,SE,FT,Data Quality Analyst,USD,80000,US,0,US,M
233,2025,SE,FT,Data Scientist,USD,250000,US,0,US,M
234,2025,SE,FT,Data Scientist,USD,162500,US,0,US,M
235,2025,MI,FT,AI Developer,USD,200000,US,100,US,M
236,2025,SE,FT,Data Engineer,USD,145000,US,0,US,M
237,2025,SE,FT,Data Engineer,USD,100000,US,0,US,M
238,2025,EX,FT,Data Engineer,USD,145000,US,0,US,M
239,2025,EX,FT,Data Engineer,USD,115000,US,0,US,M
240,2025,SE,FT,Data Scientist,USD,203500,US,0,US,M
241,2025,SE,FT,Data Scientist,USD,152000,US,0,US,M
242,2025,SE,FT,Data Scientist,USD,239000,US,0,US,L
243,2025,SE,FT,Data Scientist,USD,122900,US,0,US,L
244,2025,SE,FT,Data Scientist,USD,237000,US,0,US,M
245,2025,SE,FT,Data Scientist,USD,145000,US,0,US,M
246,2025,SE,FT,Data Science Manager,USD,191765,US,0,US,M
247,2025,SE,FT,Data Science Manager,USD,134236,US,0,US,M
248,2025,SE,FT,Analytics Engineer,USD,190000,US,100,US,M
249,2025,SE,FT,Analytics Engineer,USD,112000,US,100,US,M
250,2024,SE,FT,Data Scientist,EUR,88256,ES,100,GB,L
251,2025,EN,FT,Data Engineer,USD,85000,US,0,US,M
252,2025,EN,FT,Data Engineer,USD,65000,US,0,US,M
253,2025,SE,FT,Data Analyst,USD,135000,US,0,US,M
254,2025,SE,FT,Data Analyst,USD,105500,US,0,US,M
255,2025,SE,FT,Research Engineer,USD,293000,US,0,US,M
256,2025,SE,FT,Research Engineer,USD,185000,US,0,US,M
257,2025,SE,FT,Data Analyst,USD,80000,US,0,US,M
258,2025,SE,FT,Data Analyst,USD,70000,US,0,US,M
259,2025,SE,FT,Data Engineer,USD,220000,US,100,US,M
260,2025,SE,FT,Data Engineer,USD,160000,US,100,US,M
261,2025,SE,FT,Data Scientist,USD,175000,US,100,US,M
262,2025,SE,FT,Data Scientist,USD,145000,US,100,US,M
263,2025,SE,FT,Data Analyst,USD,200000,US,0,US,M
264,2025,SE,FT,Data Analyst,USD,148500,US,0,US,M
265,2025,SE,FT,Data Scientist,EUR,48289,ES,0,ES,M
266,2025,SE,FT,Data Scientist,EUR,38631,ES,0,ES,M
267,2025,SE,FT,Data Engineer,USD,240500,US,0,US,L
268,2025,SE,FT,Data Engineer,USD,123700,US,0,US,L
269,2025,SE,FT,Analytics Engineer,USD,152900,US,100,US,M
270,2025,SE,FT,Analytics Engineer,USD,117100,US,100,US,M
271,2025,SE,FT,Analytics Engineer,USD,173000,US,100,US,M
272,2025,SE,FT,Analytics Engineer,USD,113000,US,100,US,M
273,2025,SE,FT,Applied Scientist,USD,260000,US,0,US,L
274,2025,SE,FT,Applied Scientist,USD,136000,US,0,US,L
275,2025,EX,FT,Data Engineer,USD,175000,US,0,US,M
276,2025,EX,FT,Data Engineer,USD,110000,US,0,US,M
277,2025,SE,FT,Applied Scientist,USD,260000,US,0,US,L
278,2025,SE,FT,Applied Scientist,USD,136000,US,0,US,L
279,2025,SE,FT,Research Scientist,USD,130000,US,100,US,M
280,2025,SE,FT,Research Scientist,USD,110000,US,100,US,M
281,2025,SE,FT,Applied Scientist,USD,205000,US,100,US,M
282,2025,SE,FT,Applied Scientist,USD,184000,US,100,US,M
283,2025,SE,FT,Data Analyst,USD,149500,US,100,US,M
284,2025,SE,FT,Data Analyst,USD,127075,US,100,US,M
285,2025,SE,FT,Data Scientist,USD,195000,US,0,US,M
286,2025,SE,FT,Data Scientist,USD,160000,US,0,US,M
287,2025,SE,FT,Data Engineer,USD,219535,US,100,US,M
288,2025,SE,FT,Data Engineer,USD,146115,US,100,US,M
289,2025,SE,FT,Data Scientist,USD,170000,US,0,US,M
290,2025,SE,FT,Data Scientist,USD,135000,US,0,US,M
291,2025,SE,FT,Data Scientist,USD,175000,US,100,US,M
292,2025,SE,FT,Data Scientist,USD,145000,US,100,US,M
293,2025,SE,FT,Data Scientist,USD,199000,US,0,US,M
294,2025,SE,FT,Data Scientist,USD,162000,US,0,US,M
295,2025,SE,FT,Applied Scientist,USD,222200,US,0,US,L
296,2025,SE,FT,Applied Scientist,USD,136000,US,0,US,L
297,2025,EX,FT,Analytics Engineer,USD,221000,US,100,US,M
298,2025,EX,FT,Analytics Engineer,USD,153000,US,100,US,M
299,2025,SE,FT,Data Analyst,USD,187000,US,0,US,M
300,2025,SE,FT,Data Analyst,USD,128000,US,0,US,M
301,2025,SE,FT,Research Scientist,USD,210000,US,0,US,M
302,2025,SE,FT,Research Scientist,USD,136000,US,0,US,M
303,2025,SE,FT,Data Scientist,USD,175000,US,100,US,M
304,2025,SE,FT,Data Scientist,USD,100000,US,100,US,M
305,2025,SE,FT,Data Engineer,USD,179000,US,0,US,M
306,2025,SE,FT,Data Engineer,USD,109000,US,0,US,M
307,2025,SE,FT,Data Scientist,USD,245000,US,0,US,M
308,2025,SE,FT,Data Scientist,USD,180000,US,0,US,M
309,2025,SE,FT,Data Analyst,USD,142000,US,100,US,M
310,2025,SE,FT,Data Analyst,USD,75000,US,100,US,M
311,2025,SE,FT,Data Manager,USD,198800,US,0,US,M
312,2025,SE,FT,Data Manager,USD,105200,US,0,US,M
313,2025,SE,FT,Data Analyst,USD,125000,US,100,US,M
314,2025,SE,FT,Data Analyst,USD,112000,US,100,US,M
315,2025,SE,FT,Data Scientist,USD,210000,US,0,US,M
316,2025,SE,FT,Data Scientist,USD,155000,US,0,US,M
317,2025,SE,FT,Data Manager,USD,115000,US,100,US,M
318,2025,SE,FT,Data Manager,USD,86000,US,100,US,M
319,2025,SE,FT,Data Scientist,USD,165000,US,0,US,M
320,2025,SE,FT,Data Scientist,USD,140000,US,0,US,M
321,2025,SE,FT,Data Analyst,USD,139000,US,0,US,M
322,2025,SE,FT,Data Analyst,USD,106000,US,0,US,M
323,2025,EN,FT,Data Analyst,CAD,40663,CA,0,CA,L
324,2024,SE,FT,AI Developer,USD,275000,CA,0,CA,S
326,2025,MI,FT,Machine Learning Engineer,USD,280700,US,100,US,M
327,2025,MI,FT,Machine Learning Engineer,USD,150450,US,100,US,M
328,2025,EN,FT,Data Scientist,CAD,51753,CA,100,CA,L
329,2025,SE,FT,Data Architect,USD,250500,US,0,US,M
330,2025,SE,FT,Data Architect,USD,159500,US,0,US,M
331,2025,SE,FT,Data Engineer,USD,145000,US,0,US,M
332,2025,SE,FT,Data Engineer,USD,115000,US,0,US,M
333,2025,SE,FT,Data Analyst,USD,140000,US,0,US,M
334,2025,SE,FT,Data Analyst,USD,120000,US,0,US,M
335,2025,EN,FT,Data Scientist,USD,130001,US,100,US,M
336,2025,EN,FT,Data Scientist,USD,71907,US,100,US,M
337,2025,MI,FT,Data Scientist,USD,93918,US,100,US,M
338,2025,MI,FT,Data Scientist,USD,51962,US,100,US,M
339,2025,SE,FT,Data Analyst,USD,175000,CA,100,CA,M
340,2025,SE,FT,Data Analyst,USD,135000,CA,100,CA,M
341,2025,EN,FT,Data Engineer,USD,85000,US,0,US,M
342,2025,EN,FT,Data Engineer,USD,65000,US,0,US,M
343,2025,SE,FT,Machine Learning Engineer,USD,257000,US,0,US,M
344,2025,SE,FT,Machine Learning Engineer,USD,147000,US,0,US,M
345,2025,SE,FT,Data Engineer,USD,222000,US,100,US,M
346,2025,SE,FT,Data Engineer,USD,175000,US,100,US,M
347,2025,SE,FT,Data Scientist,USD,203000,US,100,US,M
348,2025,SE,FT,Data Scientist,USD,133200,US,100,US,M
349,2025,EN,FT,Applied Scientist,USD,213660,US,0,US,L
350,2025,EN,FT,Applied Scientist,USD,130760,US,0,US,L
351,2025,SE,FT,Data Engineer,USD,221000,US,0,US,M
352,2025,SE,FT,Data Engineer,USD,147000,US,0,US,M
353,2025,SE,FT,Data Quality Analyst,USD,100000,US,0,US,M
354,2025,SE,FT,Data Quality Analyst,USD,80000,US,0,US,M
355,2025,SE,FT,Data Scientist,USD,185900,US,0,US,M
356,2025,SE,FT,Data Scientist,USD,129300,US,0,US,M
357,2025,SE,FT,Data Scientist,USD,238000,US,100,US,M
358,2025,SE,FT,Data Scientist,USD,156000,US,100,US,M
359,2025,SE,FT,Machine Learning Engineer,USD,304000,US,100,US,M
360,2025,SE,FT,Machine Learning Engineer,USD,199000,US,100,US,M
361,2025,MI,FT,Big Data Engineer,EUR,48289,ES,100,ES,M
362,2025,SE,FT,Data Engineer,USD,150000,US,0,US,M
363,2025,SE,FT,Data Engineer,USD,130000,US,0,US,M
364,2025,SE,FT,Data Scientist,USD,140000,US,100,US,M
365,2025,SE,FT,Data Scientist,USD,110000,US,100,US,M
366,2025,MI,FT,Data Analyst,USD,90000,US,0,US,M
367,2025,MI,FT,Data Analyst,USD,75000,US,0,US,M
368,2025,MI,FT,Research Scientist,GBP,195895,GB,0,GB,M
369,2025,MI,FT,Research Scientist,GBP,102772,GB,0,GB,M
370,2025,SE,FT,Data Engineer,USD,240000,US,0,US,M
371,2025,SE,FT,Data Engineer,USD,183600,US,0,US,M
372,2025,MI,FT,Data Specialist,USD,130000,US,0,US,M
373,2025,MI,FT,Data Specialist,USD,80000,US,0,US,M
374,2025,SE,FT,Data Engineer,USD,250000,US,0,US,M
375,2025,SE,FT,Data Engineer,USD,150000,US,0,US,M
376,2025,SE,FT,Data Analytics Manager,USD,160000,US,100,US,M
377,2025,SE,FT,Data Analytics Manager,USD,120000,US,100,US,M
378,2025,SE,FT,Machine Learning Engineer,USD,289076,US,0,US,M
379,2025,SE,FT,Machine Learning Engineer,USD,202353,US,0,US,M
380,2025,SE,FT,Data Engineer,USD,145000,US,0,US,M
381,2025,SE,FT,Data Engineer,USD,120000,US,0,US,M
382,2025,SE,FT,Data Analyst,USD,155000,US,0,US,M
383,2025,SE,FT,Data Analyst,USD,106000,US,0,US,M
384,2025,SE,FT,Data Engineer,USD,200000,US,0,US,M
385,2025,SE,FT,Data Engineer,USD,160000,US,0,US,M
386,2025,SE,FT,Data Scientist,USD,157750,US,100,US,M
387,2025,SE,FT,Data Scientist,USD,104650,US,100,US,M
388,2025,MI,FT,Data Scientist,USD,180000,US,100,US,M
389,2025,MI,FT,Data Scientist,USD,140000,US,100,US,M
390,2025,EX,FT,Data Scientist,USD,200000,US,0,US,M
391,2025,EX,FT,Data Scientist,USD,145000,US,0,US,M
392,2025,MI,FT,Lead Data Analyst,USD,68000,US,0,US,L
393,2025,EN,FT,BI Data Engineer,USD,60000,US,100,US,M
394,2025,SE,FT,Data Scientist,EUR,48289,ES,0,ES,M
395,2025,SE,FT,Data Scientist,EUR,38631,ES,0,ES,M
396,2025,EN,FT,Data Engineer,USD,85000,US,0,US,M
397,2025,EN,FT,Data Engineer,USD,65000,US,0,US,M
398,2025,MI,FT,Data Engineer,USD,125000,US,0,US,M
399,2025,MI,FT,Data Engineer,USD,90000,US,0,US,M
400,2025,SE,FT,Data Analyst,USD,105000,US,100,US,M
401,2025,SE,FT,Data Analyst,USD,90000,US,100,US,M
402,2025,SE,FT,Analytics Engineer,USD,179820,US,0,US,M
403,2025,SE,FT,Analytics Engineer,USD,143860,US,0,US,M
404,2025,SE,FT,Data Analyst,USD,135000,US,0,US,M
405,2025,SE,FT,Data Analyst,USD,105500,US,0,US,M
406,2025,EN,FT,Research Engineer,USD,155000,US,0,US,M
407,2025,EN,FT,Research Engineer,USD,125000,US,0,US,M
408,2025,SE,FT,Machine Learning Engineer,USD,241000,US,0,US,M
409,2025,SE,FT,Machine Learning Engineer,USD,181000,US,0,US,M
410,2025,SE,FT,Data Scientist,USD,252000,US,0,US,M
411,2025,SE,FT,Data Scientist,USD,154000,US,0,US,M
412,2025,EX,FT,Data Architect,USD,180000,US,0,US,M
413,2025,EX,FT,Data Architect,USD,155000,US,0,US,M
414,2025,SE,FT,Data Scientist,USD,191765,US,0,US,M
415,2025,SE,FT,Data Scientist,USD,134236,US,0,US,M
416,2025,SE,FT,Data Scientist,USD,175000,US,100,US,M
417,2025,SE,FT,Data Scientist,USD,145000,US,100,US,M
418,2025,SE,FT,Data Scientist,USD,237000,US,100,US,M
419,2025,SE,FT,Data Scientist,USD,145000,US,100,US,M
420,2025,EN,FT,Research Engineer,USD,155000,US,0,US,M
421,2025,EN,FT,Research Engineer,USD,125000,US,0,US,M
422,2025,SE,FT,Data Analyst,USD,80000,US,0,US,M
423,2025,SE,FT,Data Analyst,USD,70000,US,0,US,M
424,2025,SE,FT,Data Engineer,USD,146000,US,0,US,M
425,2025,SE,FT,Data Engineer,USD,75000,US,0,US,M
426,2025,EN,FT,Data Analyst,USD,64200,US,100,US,M
427,2025,EN,FT,Data Analyst,USD,56100,US,100,US,M
428,2025,SE,FT,Machine Learning Engineer,USD,170000,US,0,US,M
429,2025,SE,FT,Machine Learning Engineer,USD,130000,US,0,US,M
430,2025,SE,FT,Data Analyst,USD,208450,US,100,US,M
431,2025,SE,FT,Data Analyst,USD,170550,US,100,US,M
432,2025,SE,FT,Machine Learning Engineer,USD,125000,US,0,US,M
433,2025,SE,FT,Machine Learning Engineer,USD,100000,US,0,US,M
434,2025,MI,FT,Data Manager,USD,135000,US,0,US,M
